80,EVGA XC3 ULTRA GAMING iCX3,GeForce RTX 3070 LHR,8 GB,1500 MHz,1770 MHz,EVGA
81,Asus ROG STRIX GAMING OC V2,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1890 MHz,Asus
82,XFX Speedster SWFT 210,Radeon RX 6600 XT,8 GB,2092 MHz,2589 MHz,XFX
83,XFX Speedster SWFT 309,Radeon RX 6700 XT,12 GB,2321 MHz,2581 MHz,XFX
84,MSI VENTUS 2X OC,GeForce RTX 3070 LHR,8 GB,1500 MHz,1755 MHz,MSI
85,Asus ROG STRIX GAMING OC,GeForce RTX 3080 12GB LHR,12 GB,1260 MHz,1890 MHz,Asus
86,MSI VENTUS 3X OC,GeForce RTX 3060 Ti LHR,8 GB,1410 MHz,1695 MHz,MSI
89,Asus TUF GAMING OC,GeForce RTX 3070,8 GB,1500 MHz,1845 MHz,Asus
88,Gigabyte EAGLE,Radeon RX 6600,8 GB,1626 MHz,2491 MHz,Gigabyte
89,NVIDIA Founders Edition,GeForce RTX 3080 Ti,12 GB,1370 MHz,1670 MHz,NVIDIA
90,Sapphire PULSE,Radeon RX 6700,10 GB,1941 MHz,2495 MHz,Sapphire
91,PowerColor Red Dragon OC,Radeon RX 6800 XT,16 GB,1825 MHz,2310 MHz,PowerColor
92,PNY XLR8 Gaming REVEL EPIC-X RGB,GeForce RTX 3060,12 GB,1320 MHz,,PNY
